基金名稱,淨值,三年績效,配息日,配息金額,年化配息率,晨星評級,連結
大華銀四至六年機動到期全球投資等級債券基金-TWD B (新台幣｜--),10.2531,+12.52%,2025/01/02,0.0217,2.55%,0,https://fund.cnyes.com/detail/大華銀四至六年機動到期全球投資等級債券基金-TWD%20B/A2pmvCL/report
第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-新臺幣 (新台幣｜--),8.2673,+10.81%,2025/01/02,0.0950,4.56%,0,https://fund.cnyes.com/detail/第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-新臺幣/A2jhKnr/report
第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-南非幣 (南非幣｜--),7.7975,+10.69%,2025/01/02,0.1500,7.56%,0,https://fund.cnyes.com/detail/第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-南非幣/A1lsgBg/report
大華銀四至六年機動到期全球投資等級債券基金-ZAR B (南非幣｜--),8.7486,+8.76%,2025/01/02,0.0485,6.63%,0,https://fund.cnyes.com/detail/大華銀四至六年機動到期全球投資等級債券基金-ZAR%20B/A1g8ZX6/report
國泰三年到期全球投資等級債券基金-新台幣B（配息） (新台幣｜--),10.3999,+8.03%,2024/12/03,0.1087,4.18%,0,https://fund.cnyes.com/detail/國泰三年到期全球投資等級債券基金-新台幣B（配息）/A37209/report
景順六年到期特選全球債券基金年配型南非幣 (南非幣｜--),8.0355,+7.92%,2025/01/02,0.7600,8.66%,0,https://fund.cnyes.com/detail/景順六年到期特選全球債券基金年配型南非幣/A2CGMX5/report
第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-美元 (美元｜--),7.4206,+6.86%,2025/01/02,0.1000,5.31%,0,https://fund.cnyes.com/detail/第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-美元/A2nw3pZ/report
大華銀四至六年機動到期全球投資等級債券基金-USD B (美元｜--),8.7939,+5.77%,2025/01/02,0.0217,2.96%,0,https://fund.cnyes.com/detail/大華銀四至六年機動到期全球投資等級債券基金-USD%20B/A3RWiO7/report
大華銀四至六年機動到期全球投資等級債券基金-CNH B (人民幣｜--),9.0741,+5.53%,2025/01/02,0.0110,1.46%,0,https://fund.cnyes.com/detail/大華銀四至六年機動到期全球投資等級債券基金-CNH%20B/A1BFzUe/report
聯博四年到期全球美元債券基金-AQ類型（美元） (美元｜--),15.2200,+5.32%,2024/11/29,0.1688,4.40%,0,https://fund.cnyes.com/detail/聯博四年到期全球美元債券基金-AQ類型（美元）/A18125/report
國泰三年到期全球投資等級債券基金-美元B（配息） (美元｜--),10.1036,+5.16%,2024/12/03,0.1064,4.18%,0,https://fund.cnyes.com/detail/國泰三年到期全球投資等級債券基金-美元B（配息）/A37211/report
景順六年到期特選全球債券基金年配型美元 (美元｜--),8.2316,+4.95%,2025/01/02,0.3800,4.42%,0,https://fund.cnyes.com/detail/景順六年到期特選全球債券基金年配型美元/A4PO9rc/report
第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-人民幣 (人民幣｜--),7.1004,+4.30%,2025/01/02,0.1050,5.83%,0,https://fund.cnyes.com/detail/第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-人民幣/A4I3OdU/report
景順六年到期特選全球債券基金年配型人民幣 (人民幣｜--),8.2012,+2.24%,2025/01/02,0.3800,4.43%,0,https://fund.cnyes.com/detail/景順六年到期特選全球債券基金年配型人民幣/A1PIeLo/report
